本名,外文名,别名,字号,所处时代,国籍,毕业院校,民族,出生时间,逝世时间,职业,官职,出生地,代表作品,人物关系,简介
司马相如,,司马长卿,,,中国,,汉族,约公元前179年,约公元前118年,文学家，诗人，辞赋家，文学创作,武骑常侍，中郎将建节使,蜀郡成都,《子虚赋》，《上林赋》，《大人赋》，《长门赋》，《美人赋》,妻子：卓文君,司马相如，字长卿，汉族，蜀郡成都人，祖籍左冯翊夏阳侨居蓬州西汉辞赋家，中国文化史文学史上杰出的代表。有明显的道家思想与神仙色彩。景帝时为武骑常侍，因病免。工辞赋，其代表作品为《子虚赋》。作品词藻富丽，结构宏大，使他成为汉赋的代表作家，后人称之为赋圣和“辞宗”。他与卓文君的爱情故事也广为流传。鲁迅的《汉文学史纲要》中还把二人放在一个专节里加以评述，指出：“武帝时文人，赋莫若司马相如，文莫若司马迁。”
卓文君,,卓文后,,西汉,,,汉族,公元前175年,公元前121年,,,蜀郡临邛,《白头吟》，《怨郎诗》，《诀别书》,"丈夫：司马相如
父亲：卓王孙",卓文君，原名文后，西汉时期蜀郡临邛人，汉代才女。中国古代四大才女之一、蜀中四大才女之一。卓文君为蜀郡临邛的冶铁巨商卓王孙之女，姿色娇美，精通音律，善弹琴，有文名。卓文君与汉代著名文人司马相如的一段爱情佳话至今被人津津乐道。她也有不少佳作，如《白头吟》，诗中“愿得一心人，白头不相离”堪称经典佳句。
扬雄,,,字子云,西汉,,,汉族,公元前53年,公元18年,,,蜀郡成都,《太玄》，《法言》，《方言》，《训纂篇》,,扬雄，字子云，汉族。西汉官吏、学者。西汉蜀郡成都人。扬雄少年好学，口吃，博览群书，长于辞赋。年四十余，始游京师长安，以文见召，奏《甘泉》、《河东》等赋。成帝时任给事黄门郎。王莽时任大夫，校书天禄阁。扬雄是继司马相如之后西汉最著名的辞赋家。所谓“歇马独来寻故事，文章两汉愧扬雄”。在刘禹锡著名的《陋室铭》中“西蜀子云亭”的西蜀子云即为扬雄。扬雄曾撰《太玄》等，将源于老子之道的玄作为最高范畴，并在构筑宇宙生成图式、探索事物发展规律时，以玄为中心思想，是汉朝道家思想的继承和发展者， 对后世意义可谓重大。
班固,,班孟坚,字孟坚,东汉,,,汉族,建武八年,永元四年,,,扶风安陵,《汉书》，《白虎通义》，《两都赋》,妹妹：班昭,班固，字孟坚，扶风安陵人，东汉著名史学家、文学家。班固出身儒学世家，其父班彪、伯父班嗣，皆为当时著名学者。在父祖的熏陶下，班固九岁即能属文，诵诗赋，十六岁入太学，博览群书，于儒家经典及历史无不精通。建武三十年，班彪过世，班固从京城洛阳迁回老家居住，开始在班彪《史记后传》的基础上，与其弟班超一同撰写《汉书》，后班超投笔从戎，班固继续撰写，前后历时二十余年，于建初中基本修成。汉和帝永元元年，大将军窦宪率军北伐匈奴，班固随军出征，任中护军，行中郎将，参议军机大事，大败北单于后撰下著名的《封燕然山铭》。后窦宪因擅权被杀，班固受株连，死于狱中，时年六十一岁。班固一生著述颇丰。作为史学家，《汉书》是继《史记》之后中国古代又一部重要史书，“前四史”之一；作为辞赋家，班固是“汉赋四大家”之一，《两都赋》开创了京都赋的范例，列入《文选》第一篇；同时，班固还是经学理论家，他编辑撰成的《白虎通义》，集当时经学之大成，使谶纬神学理论化、法典化。
张衡,,张平子,,,中国,,汉族,78年,139年,从政，科学研究，著书立说,太史令，河间相，尚书,南阳西鄂,《灵宪》，《归田赋》，《二京赋》，《张河间集》,爷爷：张堪,张衡，字平子。汉族，南阳西鄂人，南阳五圣之一，与司马相如、扬雄、班固并称汉赋四大家。中国东汉时期伟大的天文学家、数学家、发明家、地理学家、文学家，在东汉历任郎中、太史令、侍中、河间相等职。晚年因病入朝任尚书，于永和四年逝世，享年六十二岁。北宋时被追封为西鄂伯。张衡在天文学方面著有《灵宪》、《浑仪图注》等，数学著作有《算罔论》，文学作品以《二京赋》、《归田赋》等为代表。《隋书·经籍志》有《张衡集》14卷，久佚。明人张溥编有《张河间集》，收入《汉魏六朝百三家集》。张衡为中国天文学、机械技术、地震学的发展作出了杰出的贡献，发明了浑天仪、地动仪，是东汉中期浑天说的代表人物之一。被后人誉为“木圣”，由于他的贡献突出，联合国天文组织将月球背面的一个环形山命名为“张衡环形山”，太阳系中的1802号小行星命名为“张衡星”。后人为纪念张衡，在南阳修建了张衡博物馆。
曹操,,一名吉利,字孟德，小字阿瞒,东汉,,,汉族,155年,220年3月15日,,丞相,沛国谯县,《观沧海》，《龟虽寿》，《让县自明本志令》，《蒿里行》，《孟德新书》,"妻子：武宣卞皇后
女儿：金乡公主，曹华，曹宪
儿子：曹植，曹铄，曹整，曹勤
女婿：刘协",曹操，字孟德，一名吉利，小字阿瞒，沛国谯县人。东汉末年杰出的政治家、军事家、文学家、书法家，三国中曹魏政权的奠基人。曹操曾担任东汉丞相，后加封魏王，奠定了曹魏立国的基础。去世后谥号为武王。其子曹丕称帝后，追尊为武皇帝，庙号太祖。东汉末年，天下大乱，曹操以汉天子的名义征讨四方，对内消灭二袁、吕布、刘表、马超、韩遂等割据势力，对外降服南匈奴、乌桓、鲜卑等，统一了中国北方，并实行一系列政策恢复经济生产和社会秩序，扩大屯田、兴修水利、奖励农桑、重视手工业、安置流亡人口、实行“租调制”，从而使中原社会渐趋稳定、经济出现转机。黄河流域在曹操统治下，政治渐见清明，经济逐步恢复，阶级压迫稍有减轻，社会风气有所好转。曹操在汉朝的名义下所采取的一些措施具有积极作用。曹操军事上精通兵法，重贤爱才，为此不惜一切代价将看中的潜能分子收于麾下；生活上善诗歌，抒发自己的政治抱负，并反映汉末人民的苦难生活，气魄雄伟，慷慨悲凉；散文亦清峻整洁，开启并繁荣了建安文学，给后人留下了宝贵的精神财富，鲁迅评价其为“改造文章的祖师”。同时曹操也擅长书法，唐朝张怀瓘在《书断》将曹操的章草评为“妙品”。
曹植,,陈思王，陈王,字子建,汉末三国,,,汉族,192年,232年12月27日,,,东武阳,《七步诗》，《白马篇》，《洛神赋》，《七哀诗》，《飞龙篇》,"父亲：曹操
哥哥：曹丕
弟弟：曹冲",曹植，字子建，沛国谯县人，生于东武阳，是曹操与武宣卞皇后所生第三子，生前曾为陈王，去世后谥号“思”，因此又称陈思王。曹植是三国时期著名文学家，作为建安文学的代表人物之一与集大成者，他在两晋南北朝时期，被推尊到文章典范的地位。其代表作有《洛神赋》《白马篇》《七哀诗》等。后人因其文学上的造诣而将他与曹操、曹丕合称为“三曹”。其诗以笔力雄健和词采华美见长，留有集三十卷，已佚，今存《曹子建集》为宋人所编。曹植的散文同样亦具有“情兼雅怨，体被文质”的特色，加上其品种的丰富多样，使他在这方面取得了卓越的成就。南朝宋文学家谢灵运有“天下才有一石，曹子建独占八斗”的评价。文学批评家钟嵘亦赞曹植“骨气奇高，词彩华茂，情兼雅怨，体被文质，粲溢今古，卓尔不群。”并在《诗品》中把他列为品第最高的诗人。王士祯尝论汉魏以来二千年间诗家堪称“仙才”者，曹植、李白、苏轼三人耳。
曹丕,,魏文帝,字子桓,汉末→三国,,,汉族,187年冬,226年6月29日,,,豫州沛国谯,《典论》，《燕歌行》，《寡妇诗》，《答临淄侯植诏》,"妻子：文昭甄皇后
儿子：曹叡
母亲：武宣卞皇后
弟弟：曹植，曹京，曹铄",魏文帝曹丕，字子桓，豫州沛国谯县人。三国时期著名的政治家、文学家，曹魏开国皇帝。魏武帝曹操次子，与正室卞夫人的嫡长子。曹丕自幼文武双全，博览经传，通晓诸子百家学说。建安二十二年，曹丕击败了其弟曹植，被立为魏王世子。建安二十五年，曹操逝世，曹丕继任丞相、魏王。同年，受禅登基，以魏代汉，结束了汉朝四百多年的统治，建立了魏国。曹丕在位期间，采纳吏部尚书陈群的意见，于黄初元年 命其制定九品中正制，成为魏晋南北朝时期主要的选官制度。而且平定了青州、徐州一带的割据势力，最终完成了北方的统一。对外平定边患，击退鲜卑，和匈奴、氐、羌等外夷修好，恢复在西域的建置。黄初七年，曹丕病逝于洛阳，时年四十岁。谥号文帝，庙号高祖，葬于首阳陵。曹丕于诗、赋、文学皆有成就，尤擅长于五言诗，与其父曹操和弟曹植，并称“建安三曹”，今存《魏文帝集》二卷。另外，曹丕著有《典论》，当中的《论文》是中国文学史上第一部有系统的文学批评专论作品。
蔡文姬,,蔡琰,字文姬，又字昭姬,汉末三国,,,汉族,,,,,陈留郡圉县,《悲愤诗》，《胡笳十八拍》,"丈夫：董祀
父亲：蔡邕",蔡琰，字文姬，又字昭姬。生卒年不详。东汉陈留郡圉县人，东汉大文学家蔡邕的女儿。初嫁于卫仲道，丈夫死去而回到自己家里，后值因匈奴入侵，蔡琰被匈奴左贤王掳走，嫁给匈奴人，并生育了两个孩子。十二年后，曹操统一北方，用重金将蔡琰赎回，并将其嫁给董祀。蔡琰同时擅长文学、音乐、书法。《隋书·经籍志》著录有《蔡文姬集》一卷，但已经失传。现在能看到的蔡文姬作品只有《悲愤诗》二首和《胡笳十八拍》。历史上记载蔡琰的事迹并不多，但“文姬归汉”的故事却在历朝历代被广为流传。
阮籍,,阮嗣宗，阮步兵,,,,,汉族,公元210年,公元263年,,,陈留尉氏,《大人先生传》，《咏怀八十二首》,"父亲：阮瑀
侄子：阮咸
好友：刘伶",阮籍，三国时期魏国诗人。字嗣宗。陈留尉氏人。竹林七贤之一。曾任步兵校尉，世称阮步兵。崇奉老庄之学，政治上则采取谨慎避祸的态度。阮籍是“正始之音”的代表，著有《咏怀八十二首》、《大人先生传》等，其著作收录在《阮籍集》中。
