本名,外文名,别名,字号,所处时代,国籍,毕业院校,民族,出生时间,逝世时间,职业,官职,出生地,代表作品,人物关系,简介
阿尔贝·加缪,Albert，Camus,,,,法国,,盎格鲁撒克逊人,1913年11月7日,1960年1月4日,作家，哲学家,,阿尔及利亚的蒙多维,《局外人》，《鼠疫》，《西西弗的神话》,对手：让-保罗·萨特,阿尔贝·加缪，法国作家、哲学家，存在主义文学、“荒诞哲学”的代表人物。主要作品有《局外人》、《鼠疫》等。加缪于1957年获得诺贝尔文学奖，他在20世纪50年代以前，一直被看作是存在主义者，尽管他自己多次否认。1951年加缪发表了哲学论文《反抗者》之后，引起一场与萨特等人长达一年之久的论战，最后与萨特决裂。加缪在他的小说、戏剧、随笔和论著中，深刻地揭示出人在异己的世界中的孤独、个人与自身的日益异化，以及罪恶和死亡的不可避免。但他在揭示出世界的荒诞的同时却并不绝望和颓丧，他主张要在荒诞中奋起反抗，在绝望中坚持真理和正义，他为世人指出了一条基督教和马克思主义以外的自由人道主义道路。他直面惨淡人生的勇气，他“知其不可而为之”的大无畏精神，使他在第二次世界大战之后不仅在法国，而且在欧洲并最终在全世界，成为他那一代人的代言人和下一代人的精神导师。
安东·巴甫洛维奇·契诃夫,Anton，Pavlovich，Chekhov,安托沙·契洪捷,,,俄罗斯,莫斯科大学,俄罗斯人,1860年1月17日,1904年7月15日,作家，医生,,罗斯托夫州-塔甘罗格,《套中人》，《小公务员之死》，《变色龙》，《草原》，《凡卡》，《樱桃园》,,安东·巴甫洛维奇·契诃夫 ，俄国世界级短篇小说巨匠，杰出的剧作家，是俄国19世纪末期最后一位批判现实主义艺术大师，与法国作家莫泊桑和美国作家欧·亨利并称为“世界三大短篇小说家”。契诃夫的小说紧凑精炼，言简意赅，给读者以独立思考的余地。其剧作对19世纪戏剧产生了很大的影响。他坚持现实主义传统，注重描写俄国人民的日常生活，塑造具有典型性格的小人物，借此真实反映出当时俄国社会的状况。他的作品的两大特征是对丑恶现象的嘲笑与对贫苦人民的深切的同情，并且其作品无情地揭露了沙皇统治下的不合理的社会制度和社会的丑恶现象。契诃夫被认为是19世纪末俄国现实主义文学的杰出代表。
奥诺雷·德·巴尔扎克,Honoré·de，Balzac,,,,法国,法律学校,法兰西民族,1799年5月20日,1850年8月18日,小说家，剧作家,,图尔城,《人间喜剧》，《朱安党人》，《驴皮记》,,奥诺雷·德·巴尔扎克，法国小说家，被称为“现代法国小说之父”，生于法国中部图尔城一个中产者家庭，1816年入法律学校学习.毕业后不顾父母反对，毅然走上文学创作道路，但是第一部作品五幕诗体悲剧《克伦威尔》却完全失败。而后他与人合作从事滑稽小说和神怪小说的创作，曾一度弃文从商和经营企业，出版名著丛书等，均告失败。商业和企业上的失败使他债台高筑，拖累终身，但也为他日后创作打下了厚实的生活基础。1829年，他发表长篇小说《朱安党人》，迈出了现实主义创作的第一步，1831年出版的《驴皮记》使他声名大震。1834年，完成对《高老头》的著作，这也是巴尔扎克最优秀的作品之一。他要使自己成为文学事业上的拿破仑，在30至40年代以惊人的毅力创作了大量作品，一生创作甚丰，写出了91部小说，塑造了两千四百七十二个栩栩如生的人物形象，合称《人间喜剧》。《人间喜剧》被誉为“资本主义社会的百科全书”。但他由于早期的债务和写作的艰辛，终因劳累过度于1850年8月18日与世长辞。
维克多·雨果,Victor，Hugo,雨果，法兰西的莎士比亚,,,法国,,,1802年2月26日,1885年5月22日,文学家，人权活动家，剧作家,,法国贝桑松,《巴黎圣母院》，《悲惨世界》，《笑面人》，《“诺曼底”号遇难记》,,维克多·雨果，法国作家，19世纪前期积极浪漫主义文学的代表作家，人道主义的代表人物，法国文学史上卓越的资产阶级民主作家，被人们称为“法兰西的莎士比亚”。一生写过多部诗歌、小说、剧本、各种散文和文艺评论及政论文章，在法国及世界有着广泛的影响力。1802年，雨果生于法国贝桑松，上有兄长二人。13岁时与兄长进入寄读学校就学，兄弟均成为学生领袖。雨果在16岁时已能创作杰出的诗句，21岁时出版诗集，声名大噪。1845年，法王路易·菲利普授予雨果上议院议员职位，自此专心从政。1848年法国二月革命爆发，法王路易被逊位。雨果于此时期四处奔走鼓吹革命，为人民贡献良多，赢得新共和政体的尊敬，晋封伯爵，并当选国民代表及国会议员。三年后，拿破仑三世称帝，雨果对此大加攻击，因此被放逐国外。此后20年间各处漂泊，此时期完成小说《悲惨世界》。1870年法国恢复共和政体，雨果亦结束流亡生涯，回到法国。1885年，雨果辞世，于潘德拉举行国葬。雨果的创作历程超过60年，其作品包括26卷诗歌、20卷小说、12卷剧本、21卷哲理论著，合计79卷。其代表作有长篇小说《巴黎圣母院》、《九三年》和《悲惨世界》，短篇小说有《“诺曼底”号遇难记》。《“诺曼底”号遇难记》还被选入教材语文版语文A版五年级上册第九课、冀教版五年级下册第二十课、沪教版六年级下册第十课。
亚历山大·仲马,"Alexandre，Dumas,，père",大仲马,,,法国,,,1802年7月24日,1870年12月5日,剧作家，小说家,,法国维勒科特莱,《三个火枪手》，《三剑客》，《基督山伯爵》,儿子：亚历山大·小仲马,亚历山大·仲马，人称大仲马，法国19世纪浪漫主义作家。大仲马各种著作达300卷之多，以小说和剧作为主。代表作有：《亨利第三及其宫廷》、《基督山伯爵》、《三个火枪手》等。大仲马信守共和政见，反对君主专政。先后参加了1830年“七月革命”、1848年推翻七月王朝革命、加里波第对那不勒斯王国的征战等活动。2002年，大仲马去世132年后遗骸移入了法国先贤祠。大仲马小说大都以真实的历史作背景，情节曲折生动，往往出人意料，有历史惊险小说之称。结构清晰明朗，语言生动有力，对话灵活机智等构成了大仲马小说的特色。大仲马也因而被后人美誉为“通俗小说之王”。
亚历山大·小仲马,Alexandre，Dumas.fils,小仲马,,,法国,,,1824年7月27日,1895年11月27日,文学作家，小说家，剧作家,,法国维莱－科特雷,《茶花女》,,亚历山大·仲马是法国小说家大仲马任奥尔良公爵秘书处的文书抄写员时与一女裁缝所生的私生子，因与其父重名而被称为小仲马。小仲马的第一部扬名文坛的力作《茶花女》，表达了人道主义思想，体现出人间的真情，人与人之间的关怀、宽容与尊重，体现了人性的爱，这种思想感情引起人们的共鸣，并且受到普遍的欢迎。也曾写剧本：《半上流社会》、《金钱问题》、《私生子》、《放荡的父亲》、《欧勃雷夫人的见解》、《阿尔米斯先生》 和《福朗西雍》、《克洛德妻子》等。
居伊·德·莫泊桑,Henri，René，Albert，Guy，de，Maupassant,,,,法国,巴黎大学法学院,,1850年8月5日,1893年7月6日,作家,,法国诺曼底省狄埃卜城,《羊脂球》，《俊友》，《项链》，《一生》，《温泉》，《归来》，《我的叔叔于勒》,,居伊·德·莫泊桑，19世纪后半叶法国批判现实主义作家，与俄国契诃夫和美国欧·亨利并称为“世界三大短篇小说巨匠”。代表作品有《项链》、《漂亮朋友》、《羊脂球》和《我的叔叔于勒》等。莫泊桑1850年出生于法国上诺曼府滨海塞纳省的一个没落贵族家庭。曾参加普法战争，此经历成为他日后创作小说的一个重要主题。他一生创作了六部长篇小说、三百五十九篇中短篇小说及三部游记，是法国文学史上短篇小说创作数量最大、成就最高的作家之一。莫泊桑患有神经痛和强烈的偏头痛，巨大的劳动强度，使他逐渐病入膏肓。直到1891年，他已不能再进行写作。在遭受疾病残酷的折磨之后，莫泊桑于1893年7月6日逝世，年仅43岁。
爱弥尔·左拉,Émile，Zola,,,,法国,,,1840年4月2日,1902年9月28日,小说家，社会活动家,,法国巴黎,《萌芽》，《娜娜》，《小酒店》，《金钱》,,爱弥尔·左拉，法国自然主义小说家和理论家，自然主义文学流派创始人与领袖。1840年，左拉诞生于法国巴黎，主要创作作品为《卢贡-玛卡一家人的自然史和社会史》，该作包括20部长篇小说，登场人物达1000多人，其中代表作有《小酒店》、《萌芽》、《娜娜》、《金钱》等。左拉是19世纪后半期法国重要的批判现实主义作家，其自然主义文学理论，被视为19世纪批判现实主义文学遗产的组成部分。
普罗斯佩·梅里美,Prosper，Merimee,,,,法国,,,1803年9月28日,1870年9月23日,作家,,巴黎,《卡门》，《高龙巴》,,普罗斯佩·梅里美，法国现实主义作家，剧作家，历史学家。主要作品有收集出版的剧本集《克拉拉·加苏尔戏剧集》和历史剧《雅克团》，有长篇小说《查理九世的轶事》和中、短篇小说《马特奥·法尔哥内》、《攻占棱堡》、《塔曼果》、《高龙巴》、《卡门》、《伊尔的美神》等。梅里美生于法国巴黎一个知识分子家庭，家境富裕。1819年他进入巴黎大学学习法律，同时掌握了英语、西班牙语、意大利语、俄语、希腊语和拉丁语，并对古典文学、哲学和各困的神秘思想多有涉猎，大学毕业后，他在商业部任职。1829年，在一年多的时间里，他连续写出了一批成功的中篇小说，其中最著名的是《马铁奥·法尔哥尼》，成为他的代表作品之一；之后他再接再厉，在同一年又完成了两篇杰作《塔芒戈》与《费德里哥》。1830年七月革命前夕，梅里美到西班牙旅行，结识了日后对他的生活道路很有影响的蒙蒂霍伯爵夫人一家，而且，西班牙之行还扩大了他创作的视野，带给他的小说以新西班牙题材和对西班牙风格的描写。1834年，梅里美被任命为历史文物总督察官，他漫游了西班牙、英国、意大利、希腊及土耳其等国。在对当地文物进行考察之余，他广泛接触各阶层民众，了解轶闻趣事、民问风俗，写了大量的游记，同时积累了小说创作的素材。1870年病逝于法国戛纳。
儒勒·凡尔纳,Jules，Gabriel，Verne,儒勒·加布里埃尔·凡尔纳,,,法国,,,1828年2月8日,1905年3月24日,作家,,法国南特,《海底两万里》，《气球上的五星期》，《八十天环游地球》,,儒勒·凡尔纳，19世纪法国小说家、剧作家及诗人。凡尔纳出生于法国港口城市南特的一个中产阶级家庭，早年依从其父亲的意愿在巴黎学习法律，之后开始创作剧本以及杂志文章。在与出版商赫泽尔父子合作期间，凡尔纳的文学创作事业取得了巨大成功，他的不少作品被翻译成多种语言。凡尔纳一生创作了大量优秀的文学作品，以《在已知和未知的世界中的奇异旅行》为总名，代表作为三部曲《格兰特船长的儿女》《海底两万里》《神秘岛》以及《气球上的五星期》《地心游记》等。他的作品对科幻文学流派有着重要的影响，因此他与赫伯特·乔治·威尔斯一道，被称作“科幻小说之父”。据联合国教科文组织的资料，凡尔纳是世界上被翻译的作品第二多的名家，仅次于阿加莎·克里斯蒂，位于莎士比亚之上。联合国教科文组织最近的统计显示，全世界范围内，凡尔纳作品的译本已累计达4751种，他也是2011年世界上作品被翻译次数最多法语作家。在法国，2005年被定为凡尔纳年，以纪念他百年忌辰。
